WEEK_START,ENGAGED_SESSIONS,ENGAGED_DISTINCT_IDS,SUM_MARKET_REV,SUM_SFX_REV,SUM_SINGLE_SONG_REV,SESSIONS_WITH_MARKET_PURCHASE,SESSIONS_WITH_SFX_PURCHASE,SESSIONS_WITH_SINGLE_SONG_PURCHASE,SUM_CREATED_SUBSCRIPTION,SESSIONS_WITH_CREATED_SUBSCRIPTION,ENT_FORM_SUBMITTERS,ENT_LANDING_SUBMITTERS,ENT_DEMO_SUBMITTERS
2025-12-22,19779,14559,0.000000,0.000000,3228.000000,0,0,21,112,110,17,2,3
2025-12-29,19269,14055,0.000000,0.000000,2735.000000,0,0,12,92,87,14,2,1
2026-01-05,28484,19913,0.000000,0.000000,4470.000000,0,0,24,119,116,29,2,2
2026-01-12,30001,20372,0.000000,0.000000,7412.000000,0,0,32,112,112,21,1,2
2026-01-19,28951,19759,0.000000,0.000000,5719.000000,0,0,26,121,121,23,1,3
2026-01-26,29582,20121,0.000000,0.000000,7658.000000,0,0,39,117,116,28,0,7
2026-02-02,28903,19795,0.000000,0.000000,11142.000000,0,0,43,127,124,32,1,6
2026-02-09,28530,19395,0.000000,0.000000,5564.000000,0,0,32,120,117,37,1,5
2026-02-16,27177,18726,0.000000,0.000000,6053.000000,0,0,40,122,122,28,4,5
2026-02-23,29644,20361,0.000000,0.000000,7899.000000,0,0,44,145,143,29,1,1
2026-03-02,29408,20111,0.000000,0.000000,7110.000000,0,0,35,118,118,27,1,0
2026-03-09,28780,19721,0.000000,0.000000,9207.000000,0,0,38,107,106,26,0,1
2026-03-16,3647,2992,0.000000,0.000000,545.000000,0,0,4,16,16,6,1,0
2026-03-23,191,165,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
2026-03-30,297,286,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0
2026-04-06,84,78,0.000000,0.000000,98.000000,0,0,1,0,0,0,0,0
