LEAD_MONTH,LEAD_TYPE,LEADS,DISTINCT_CONTACTS,PCT_OF_MONTH
2025-08-01,DIRECT_TRAFFIC,6,6,0.93
2025-08-01,OFFLINE,15,15,2.33
2025-08-01,ORGANIC_SEARCH,10,10,1.55
2025-08-01,OTHER_CAMPAIGNS,1,1,0.16
2025-08-01,PAID_SEARCH,5,4,0.78
2025-08-01,dtc sequences,80,80,12.42
2025-08-01,mql: form submission,198,179,30.75
2025-08-01,unknown,324,324,50.31
2025-08-01,,5,0,0.78
2025-09-01,AI_REFERRALS,2,2,0.13
2025-09-01,DIRECT_TRAFFIC,117,116,7.50
2025-09-01,OFFLINE,151,140,9.68
2025-09-01,ORGANIC_SEARCH,68,68,4.36
2025-09-01,OTHER_CAMPAIGNS,5,5,0.32
2025-09-01,PAID_SEARCH,48,48,3.08
2025-09-01,PAID_SOCIAL,1,1,0.06
2025-09-01,REFERRALS,1,1,0.06
2025-09-01,SOCIAL_MEDIA,1,1,0.06
2025-09-01,dtc sequences,54,54,3.46
2025-09-01,mql: form submission,253,237,16.22
2025-09-01,new process: pql,636,636,40.77
2025-09-01,unknown,216,216,13.85
2025-09-01,,7,0,0.45
2025-10-01,DIRECT_TRAFFIC,8,8,0.64
2025-10-01,OFFLINE,12,12,0.97
2025-10-01,ORGANIC_SEARCH,9,9,0.72
2025-10-01,dtc sequences,35,35,2.82
2025-10-01,mql: form submission,211,194,16.99
2025-10-01,new process: pql,908,908,73.11
2025-10-01,unknown,58,58,4.67
2025-10-01,,1,0,0.08
2025-11-01,AI_REFERRALS,1,1,0.11
2025-11-01,DIRECT_TRAFFIC,4,4,0.43
2025-11-01,OFFLINE,7,7,0.76
2025-11-01,ORGANIC_SEARCH,2,2,0.22
2025-11-01,PAID_SEARCH,1,1,0.11
2025-11-01,dtc sequences,80,80,8.66
2025-11-01,mql: form submission,178,168,19.26
2025-11-01,new process: pql,596,596,64.50
2025-11-01,unknown,55,55,5.95
2025-12-01,DIRECT_TRAFFIC,2,2,0.30
2025-12-01,OFFLINE,6,5,0.90
2025-12-01,ORGANIC_SEARCH,2,1,0.30
2025-12-01,PAID_SEARCH,2,2,0.30
2025-12-01,dtc sequences,13,13,1.94
2025-12-01,mql: form submission,154,147,22.99
2025-12-01,new process: pql,449,449,67.01
2025-12-01,unknown,42,42,6.27
2026-01-01,AI_REFERRALS,1,1,0.14
2026-01-01,DIRECT_TRAFFIC,67,67,9.20
2026-01-01,EMAIL_MARKETING,3,3,0.41
2026-01-01,OFFLINE,94,91,12.91
2026-01-01,ORGANIC_SEARCH,33,33,4.53
2026-01-01,OTHER_CAMPAIGNS,1,1,0.14
2026-01-01,PAID_SEARCH,17,17,2.34
2026-01-01,REFERRALS,4,4,0.55
2026-01-01,SOCIAL_MEDIA,2,1,0.27
2026-01-01,dtc sequences,3,3,0.41
2026-01-01,mql: form submission,134,123,18.41
2026-01-01,new process: pql,321,321,44.09
2026-01-01,unknown,43,43,5.91
2026-01-01,,5,0,0.69
2026-02-01,DIRECT_TRAFFIC,5,5,0.38
2026-02-01,OFFLINE,5,5,0.38
2026-02-01,ORGANIC_SEARCH,9,9,0.68
2026-02-01,PAID_SEARCH,4,4,0.30
2026-02-01,dtc sequences,25,25,1.90
2026-02-01,mql: form submission,163,149,12.37
2026-02-01,new process: pql,1007,1007,76.40
2026-02-01,unknown,100,100,7.59
2026-03-01,DIRECT_TRAFFIC,26,24,1.61
2026-03-01,OFFLINE,25,23,1.55
2026-03-01,ORGANIC_SEARCH,18,17,1.12
2026-03-01,PAID_SEARCH,6,6,0.37
2026-03-01,dtc sequences,11,11,0.68
2026-03-01,mql: form submission,178,172,11.05
2026-03-01,new process: pql,1285,1285,79.76
2026-03-01,unknown,62,62,3.85
2026-04-01,DIRECT_TRAFFIC,6,6,0.65
2026-04-01,OFFLINE,6,6,0.65
2026-04-01,ORGANIC_SEARCH,4,4,0.43
2026-04-01,PAID_SEARCH,5,5,0.54
2026-04-01,SOCIAL_MEDIA,1,1,0.11
2026-04-01,mql: form submission,210,200,22.70
2026-04-01,new process: pql,669,669,72.32
2026-04-01,unknown,24,24,2.59
