EVENT_DATE,SESSIONS_WITH_PRICING_EVENT,DISTINCT_USERS_WITH_PRICING_EVENT,PRICING_EVENTS
2026-01-01,262,255,333
2026-01-02,400,374,516
2026-01-03,401,388,543
2026-01-04,453,431,629
2026-01-05,528,501,701
2026-01-06,588,556,842
2026-01-07,640,616,832
2026-01-08,776,759,1061
2026-01-09,560,535,756
2026-01-10,385,375,511
2026-01-11,429,411,589
2026-01-12,546,529,723
2026-01-13,619,583,842
2026-01-14,711,678,955
2026-01-15,691,669,829
2026-01-16,554,539,687
2026-01-17,418,408,550
2026-01-18,473,463,623
2026-01-19,572,559,780
2026-01-20,668,645,901
2026-01-21,623,606,843
2026-01-22,545,530,723
2026-01-23,592,566,783
2026-01-24,470,451,615
2026-01-25,493,479,690
2026-01-26,696,670,921
2026-01-27,638,615,834
2026-01-28,556,531,794
2026-01-29,622,606,897
2026-01-30,494,475,674
2026-01-31,389,379,557
2026-02-01,400,386,520
2026-02-02,601,573,819
2026-02-03,571,548,754
2026-02-04,595,576,817
2026-02-05,514,507,672
2026-02-06,512,488,695
2026-02-07,364,351,481
2026-02-08,402,388,538
2026-02-09,503,482,660
2026-02-10,564,545,783
2026-02-11,577,547,783
2026-02-12,552,532,737
2026-02-13,514,494,696
2026-02-14,354,342,500
2026-02-15,409,393,523
2026-02-16,527,501,701
2026-02-17,522,501,695
2026-02-18,576,549,774
2026-02-19,566,542,770
2026-02-20,476,453,632
2026-02-21,356,344,481
2026-02-22,390,377,531
2026-02-23,548,531,715
2026-02-24,587,565,787
2026-02-25,587,547,827
2026-02-26,580,552,789
2026-02-27,549,529,728
2026-02-28,374,356,487
2026-03-01,447,438,569
2026-03-02,597,575,792
2026-03-03,607,571,860
2026-03-04,525,501,682
2026-03-05,583,559,748
2026-03-06,531,507,688
2026-03-07,363,350,491
2026-03-08,359,349,507
2026-03-09,545,531,726
2026-03-10,573,561,783
2026-03-11,553,534,767
2026-03-12,588,572,782
2026-03-13,451,430,639
2026-03-14,384,374,504
2026-03-15,383,378,481
2026-03-16,557,538,758
2026-03-17,567,549,738
2026-03-18,510,482,710
2026-03-19,508,493,734
2026-03-20,476,461,664
2026-03-21,342,321,482
2026-03-22,361,353,494
2026-03-23,598,576,840
2026-03-24,631,599,912
2026-03-25,567,550,756
2026-03-26,577,562,798
2026-03-27,547,524,769
2026-03-28,437,423,562
2026-03-29,487,474,653
2026-03-30,734,703,1044
2026-03-31,745,709,1022
2026-04-01,611,592,819
2026-04-02,673,658,883
2026-04-03,501,479,676
2026-04-04,372,364,499
2026-04-05,436,426,606
2026-04-06,633,608,887
2026-04-07,667,651,896
2026-04-08,599,574,795
2026-04-09,586,563,760
2026-04-10,510,496,678
2026-04-11,366,359,476
2026-04-12,513,496,674
2026-04-13,615,597,806
2026-04-14,624,601,844
2026-04-15,557,532,797
2026-04-16,547,532,725
2026-04-17,523,503,700
2026-04-18,371,364,510
2026-04-19,352,345,462
2026-04-20,565,545,794
2026-04-21,622,594,856
2026-04-22,586,563,767
2026-04-23,20,20,31
