NOTIFICATION_DELIVERY_ID,USER_ID,CMS_ENTRY_ID,CREATED_AT,READ_AT,UPDATED_AT,IS_READ
2637718,40544,1205599,2026-01-16 09:09:35.859000000 +00:00,2026-03-18 21:31:39.322000000 +00:00,2026-03-18 21:31:39.323000000 +00:00,true
2700588,68489,1267577,2026-01-30 09:19:49.024000000 +00:00,2026-03-27 16:55:52.591000000 +00:00,2026-03-27 16:55:52.594000000 +00:00,true
3186947,1526862,1694777,2026-03-20 15:23:05.096000000 +00:00,2026-03-22 19:46:56.884000000 +00:00,2026-03-22 19:46:56.884000000 +00:00,true
2754104,63169,1312308,2026-03-03 17:57:13.211000000 +00:00,2026-03-03 17:57:16.787000000 +00:00,2026-03-03 17:57:16.788000000 +00:00,true
2035071,1108534,1144900,2025-11-18 12:13:43.065000000 +00:00,2026-03-09 20:09:25.824000000 +00:00,2026-03-09 20:09:25.825000000 +00:00,true
2603461,864920,1173462,2025-12-26 09:11:44.552000000 +00:00,2026-01-11 02:48:30.681000000 +00:00,2026-01-11 02:48:30.682000000 +00:00,true
2693183,1688797,1260172,2026-01-30 09:13:03.928000000 +00:00,2026-03-11 18:33:42.152000000 +00:00,2026-03-11 18:33:42.153000000 +00:00,true
2587158,1726903,1157206,2025-12-19 09:12:39.826000000 +00:00,2026-01-21 22:47:53.616000000 +00:00,2026-01-21 22:47:53.616000000 +00:00,true
1995998,14094,1144897,2025-11-18 11:57:21.019000000 +00:00,2026-01-01 02:26:41.854000000 +00:00,2026-01-01 02:26:41.855000000 +00:00,true
2636140,494779,1204021,2026-01-16 09:08:10.973000000 +00:00,2026-01-31 23:35:39.306000000 +00:00,2026-01-31 23:35:39.307000000 +00:00,true
